t,hu,xi
2.31,-1439,475
2.32,-1418,467
2.33,-1416,437
2.34,-1386,423
2.35,-1355,388
2.36,-1354,387
2.37,-1339,348
2.38,-1306,332
2.39,-1292,321
2.4,-1268,308
2.41,-1252,297
2.42,-1237,297
2.43,-1236,267
2.44,-1199,262
2.45,-1173,248
2.46,-1162,242
2.47,-1124,240
2.48,-1110,231
2.49,-1080,216
2.5,-1045,218
2.51,-1027,218
2.52,-1001,219
2.53,-990,217
2.54,-943,207
2.55,-934,209
2.56,-901,195
2.57,-874,197
2.58,-861,197
2.59,-826,200
2.6,-788,192
2.61,-771,198
2.62,-731,195
2.63,-716,196
2.64,-696,190
2.65,-663,185
2.66,-648,180
2.67,-619,181
2.68,-600,181
2.69,-569,175
2.7,-558,173
2.71,-543,171
2.72,-516,170
2.73,-480,169
2.74,-467,165
2.75,-443,161
2.76,-425,167
2.77,-396,155
2.78,-385,156
2.79,-359,147
2.8,-350,152
2.81,-318,139
2.82,-319,137
2.83,-291,122
2.84,-281,126
2.85,-259,116
2.86,-248,125
2.87,-238,110
2.88,-221,101
2.89,-212,96
2.9,-200,97
2.91,-175,90
2.92,-172,98
2.93,-159,88
2.94,-147,83
2.95,-142,88
2.96,-129,80
2.97,-124,75
2.98,-107,79
2.99,-111,82
3,-99,68
3.01,-102,68
3.02,-84,55
3.03,-78,67
3.04,-66,72
3.05,-77,78
3.06,-64,58
3.07,-63,64
3.08,-64,64
3.09,-58,57
3.1,-53,55
3.11,-54,59
3.12,-53,54
3.13,-53,52
3.14,-48,50
3.15,-43,49
3.16,-44,49
3.17,-39,47
3.18,-42,47
3.19,-37,46
3.2,-36,52
3.21,-33,49
3.22,-40,51
3.23,-31,44
3.24,-40,50
3.25,-27,44
3.26,-38,50
3.27,-29,40
3.28,-33,49
3.29,-35,42
3.3,-33,42
3.31,-34,41
3.32,-33,41
3.33,-32,41
3.34,-35,37
3.35,-31,38
3.36,-35,41
3.37,-32,39
3.38,-30,39
3.39,-31,38
3.4,-24,38
3.41,-32,46
3.42,-26,39
3.43,-31,46
3.44,-26,40
3.45,-37,46
3.46,-30,35
3.47,-39,45
3.48,-34,36
3.49,-42,53
3.5,-46,56
3.51,-65,67
3.52,-89,70
3.53,-112,90
3.54,-140,127
3.55,-176,188
3.56,-230,266
3.57,-283,326
3.58,-334,384
3.59,-264,461
3.6,-26,498
3.61,-23,414
3.62,-37,423
3.63,-25,445
3.64,-36,477
3.65,-18,492
3.66,-46,534
3.67,-30,532
3.68,-39,584
3.69,-26,581
3.7,-28,635
3.71,-40,652
3.72,-42,675
3.73,-37,678
3.74,-33,712
3.75,-38,723
3.76,-36,741
3.77,-47,733
3.78,-32,712
3.79,-31,711
3.8,-27,718
3.81,-33,707
3.82,-31,709
3.83,-39,693
3.84,-26,685
3.85,-47,679
3.86,-30,667
3.87,-33,658
3.88,-24,648
3.89,-35,645
3.9,-19,613
3.91,-33,607
3.92,-15,578
3.93,-36,568
3.94,-20,553
3.95,-22,543
3.96,-36,529
3.97,-29,516
3.98,-30,500
3.99,-42,476
4,-31,460
4.01,-39,454
4.02,-33,432
4.03,-48,420
4.04,-39,411
4.05,0,396
4.06,-45,389
4.07,-25,364
4.08,-45,370
4.09,-17,340
4.1,-35,339
4.11,-32,312
4.12,-31,314
4.13,-24,292
4.14,-39,292
4.15,-17,273
4.16,-42,267
4.17,-44,253
4.18,-21,244
4.19,-665,233
4.2,-1610,283
4.21,-1591,754
4.22,-1580,803
4.23,-1579,779
4.24,-1557,718
4.25,-1550,698
4.26,-1513,650
4.27,-1509,626
4.28,-1504,599
4.29,-1479,587
4.3,-1480,545
4.31,-1460,526
4.32,-1437,472
4.33,-1413,460
4.34,-1402,440
4.35,-1375,417
4.36,-1356,406
4.37,-1353,381
4.38,-1338,364
4.39,-1301,354
4.4,-1288,340
4.41,-1283,322
4.42,-1254,315
4.43,-1224,302
4.44,-1200,290
4.45,-1177,269
4.46,-1162,266
4.47,-1140,259
4.48,-1117,257
4.49,-1094,239
4.5,-1060,238
4.51,-1050,222
4.52,-1039,220
4.53,-1007,204
4.54,-978,213
4.55,-955,201
4.56,-936,200
4.57,-902,206
4.58,-888,190
4.59,-849,179
4.6,-832,192
4.61,-808,191
4.62,-788,188
4.63,-761,183
4.64,-715,182
4.65,-690,196
4.66,-664,186
4.67,-659,188
4.68,-621,175
4.69,-608,181
4.7,-577,174
4.71,-563,179
4.72,-532,167
4.73,-519,174
4.74,-475,165
4.75,-464,175
4.76,-450,165
4.77,-425,154
4.78,-401,148
4.79,-387,144
4.8,-366,146
4.81,-351,142
4.82,-327,134
4.83,-314,128
4.84,-299,125
4.85,-284,116
4.86,-266,114
4.87,-246,114
4.88,-240,111
4.89,-224,98
4.9,-215,101
4.91,-190,93
4.92,-182,97
4.93,-170,92
4.94,-163,88
4.95,-144,81
4.96,-141,92
4.97,-135,79
4.98,-126,78
4.99,-117,77
5,-111,72
5.01,-109,67
5.02,-99,64
5.03,-100,56
5.04,-88,52
5.05,-76,57
5.06,-78,71
5.07,-74,62
5.08,-61,57
5.09,-64,64
5.1,-59,55
5.11,-62,58
5.12,-51,50
5.13,-56,53
5.14,-48,46
5.15,-50,52
5.16,-43,40
5.17,-47,52
5.18,-50,43
5.19,-46,40
5.2,-48,40
5.21,-42,40
5.22,-45,40
5.23,-48,39
5.24,-47,38
5.25,-43,38
5.26,-43,37
5.27,-42,38
5.28,-37,36
5.29,-35,42
5.3,-41,41
5.31,-29,34
5.32,-42,43
5.33,-32,34
5.34,-37,42
5.35,-35,34
5.36,-39,41
5.37,-33,32
5.38,-51,41
5.39,-32,23
5.4,-38,34
5.41,-35,33
5.42,-40,36
5.43,-39,31
5.44,-38,30
5.45,-40,32
5.46,-38,30
5.47,-39,34
5.48,-43,37
5.49,-43,39
5.5,-49,42
5.51,-55,49
5.52,-60,59
5.53,-92,76
5.54,-109,82
5.55,-145,134
5.56,-174,186
5.57,-236,268
5.58,-282,318
5.59,-336,392
5.6,-263,448
5.61,-32,498
5.62,-34,409
5.63,-35,420
5.64,-36,427
5.65,-32,463
5.66,-30,489
5.67,-30,515
5.68,-31,537
5.69,-34,567
5.7,-33,598
5.71,-16,621
5.72,-38,656
5.73,-24,675
5.74,-30,707
5.75,-23,715
5.76,-27,736
5.77,-34,728
5.78,-35,735
5.79,-20,729
5.8,-24,728
5.81,-14,712
5.82,-41,711
5.83,-26,699
5.84,-24,696
5.85,-46,676
5.86,-27,667
5.87,-35,653
5.88,-37,640
5.89,-44,643
5.9,-41,624
5.91,-20,615
5.92,-33,589
5.93,-37,572
5.94,-22,567
5.95,-36,565
5.96,-32,533
5.97,-28,536
5.98,-26,511
5.99,-36,511
6,-15,482
6.01,-15,402
6.02,-26,402
6.03,-28,441
6.04,-26,428
6.05,-32,417
6.06,-43,401
6.07,-29,381
6.08,-54,366
6.09,-41,362
6.1,-29,339
6.11,-33,328
6.12,-35,322
6.13,-37,309
6.14,-41,296
6.15,-31,278
6.16,-20,283
6.17,-13,276
6.18,-15,278
6.19,-29,254
6.2,-666,231
6.21,-1596,275
6.22,-1616,745
6.23,-1595,789
6.24,-1560,778
6.25,-1546,729
6.26,-1533,702
6.27,-1514,651
6.28,-1511,612
6.29,-1484,586
6.3,-1463,537
6.31,-1454,527
6.32,-1420,489
6.33,-1412,479
6.34,-1395,436
6.35,-1380,423
6.36,-1363,407
6.37,-1338,396
6.38,-1312,368
6.39,-1306,370
6.4,-1283,342
6.41,-1272,333
6.42,-1232,309
6.43,-1222,318
6.44,-1207,288
6.45,-1183,282
6.46,-1144,265
6.47,-1139,260
6.48,-1115,251
6.49,-1087,234
6.5,-1069,225
6.51,-1038,218
6.52,-1038,219
6.53,-1008,215
6.54,-966,219
6.55,-954,213
6.56,-920,207
6.57,-906,204
6.58,-874,193
6.59,-835,194
6.6,-826,203
6.61,-787,199
6.62,-761,204
6.63,-744,188
6.64,-716,196
6.65,-699,184
6.66,-659,192
6.67,-645,181
6.68,-619,193
6.69,-611,178
6.7,-568,179
6.71,-550,178
6.72,-533,175
6.73,-503,169
6.74,-489,167
6.75,-457,164
6.76,-432,161
6.77,-417,162
6.78,-399,157
6.79,-387,153
6.8,-352,143
6.81,-339,148
6.82,-327,138
6.83,-309,143
6.84,-284,129
6.85,-281,128
6.86,-254,120
6.87,-247,121
6.88,-230,109
6.89,-229,115
6.9,-204,102
6.91,-196,102
6.92,-179,91
6.93,-170,99
6.94,-156,86
6.95,-146,90
6.96,-139,87
6.97,-126,82
6.98,-117,82
6.99,-113,77
7,-109,75
7.01,-103,77
7.02,-98,66
7.03,-88,59
7.04,-78,62
7.05,-65,66
7.06,-76,79
7.07,-68,63
7.08,-67,66
7.09,-52,54
7.1,-62,67
7.11,-51,53
7.12,-58,63
7.13,-56,53
7.14,-53,49
7.15,-53,47
7.16,-47,47
7.17,-48,49
7.18,-46,46
7.19,-46,44
7.2,-46,44
7.21,-44,41
7.22,-45,42
7.23,-41,40
7.24,-36,39
7.25,-42,47
7.26,-36,38
7.27,-42,48
7.28,-33,37
7.29,-41,46
7.3,-32,38
7.31,-37,44
7.32,-32,38
7.33,-38,43
7.34,-39,35
7.35,-34,31
7.36,-40,39
7.37,-36,34
7.38,-40,36
7.39,-38,35
7.4,-35,33
7.41,-33,37
7.42,-36,38
7.43,-34,33
7.44,-36,35
7.45,-27,36
7.46,-37,42
7.47,-29,39
7.48,-41,49
7.49,-35,42
7.5,-48,50
7.51,-44,51
7.52,-68,70
7.53,-80,70
7.54,-112,98
7.55,-140,131
7.56,-182,195
7.57,-336,267
7.58,-288,326
7.59,-343,392
7.6,-273,458
7.61,-31,497
7.62,-34,419
7.63,-32,411
7.64,-34,450
7.65,-31,471
7.66,-21,489
7.67,-28,523
7.68,-19,538
7.69,-29,579
7.7,-17,591
7.71,-24,627
7.72,-20,651
7.73,-27,693
7.74,-26,700
7.75,-33,734
7.76,-17,722
7.77,-28,741
7.78,-26,741
7.79,-27,736
7.8,-44,727
7.81,-24,711
7.82,-30,717
7.83,-35,699
7.84,-25,698
7.85,-30,688
7.86,-18,681
7.87,-34,675
7.88,-27,656
7.89,-24,634
7.9,-24,632
7.91,-12,614
7.92,-34,606
7.93,-30,590
7.94,-25,578
7.95,-29,565
7.96,-33,549
7.97,-12,531
7.98,-20,521
7.99,-23,504
8,-19,487
8.01,-29,467
8.02,-31,458
8.03,-14,440
8.04,-29,434
8.05,-17,414
8.06,-15,404
8.07,-26,386
8.08,-33,371
8.09,-28,361
8.1,-29,357
8.11,-43,351
8.12,-15,316
8.13,-41,316
8.14,-23,297
8.15,-23,297
8.16,-16,273
8.17,-28,280
8.18,-16,256
8.19,-34,253
8.2,-664,230
8.21,-1594,268
8.22,-1613,747
8.23,-1595,779
8.24,-1579,766
8.25,-1557,727
8.26,-1540,679
8.27,-1517,636
8.28,-1492,621
8.29,-1480,567
8.3,-1476,555
8.31,-1437,515
8.32,-1433,512
8.33,-1407,474
8.34,-1401,456
8.35,-1358,431
8.36,-1352,423
8.37,-1346,386
8.38,-1310,382
8.39,-1297,360
8.4,-1278,350
8.41,-1244,326
8.42,-1238,325
8.43,-1238,294
8.44,-1195,285
8.45,-1183,277
8.46,-1158,268
8.47,-1135,258
8.48,-1123,254
8.49,-1092,251
8.5,-1076,232
8.51,-1046,231
8.52,-1016,227
8.53,-1008,214
8.54,-977,214
8.55,-950,220
8.56,-921,207
8.57,-901,203
8.58,-862,194
8.59,-845,210
8.6,-825,187
8.61,-796,200
8.62,-770,193
8.63,-751,196
8.64,-720,184
8.65,-691,192
8.66,-670,181
8.67,-648,182
8.68,-633,182
8.69,-597,174
8.7,-576,179
8.71,-555,176
8.72,-526,180
8.73,-505,173
8.74,-489,173
8.75,-461,169
8.76,-431,170
8.77,-413,154
8.78,-405,161
8.79,-371,154
8.8,-364,161
8.81,-339,142
8.82,-327,144
8.83,-306,138
8.84,-295,136
8.85,-278,128
8.86,-261,120
8.87,-251,118
8.88,-231,107
8.89,-222,104
8.9,-212,100
8.91,-196,94
8.92,-173,93
8.93,-176,99
8.94,-154,88
8.95,-145,90
8.96,-130,87
8.97,-128,94
8.98,-112,84
8.99,-112,89
9,-101,77
9.01,-102,77
9.02,-91,68
9.03,-92,66
9.04,-67,58
9.05,-72,77
9.06,-66,71
9.07,-72,72
9.08,-64,58
9.09,-63,58
9.1,-63,58
9.11,-57,53
9.12,-55,56
9.13,-57,50
9.14,-51,52
9.15,-50,49
9.16,-46,50
9.17,-46,47
9.18,-47,46
9.19,-36,45
9.2,-44,49
9.21,-36,43
9.22,-40,51
9.23,-32,42
9.24,-39,51
9.25,-35,41
9.26,-42,48
9.27,-32,40
9.28,-39,45
9.29,-42,40
9.3,-39,36
9.31,-32,37
9.32,-36,42
9.33,-40,41
9.34,-36,36
9.35,-35,37
9.36,-40,34
9.37,-36,37
9.38,-38,37
9.39,-36,35
9.4,-29,35
9.41,-35,40
9.42,-27,39
9.43,-35,44
9.44,-28,36
9.45,-37,44
9.46,-28,37
9.47,-39,46
9.48,-31,39
9.49,-43,49
9.5,-47,46
9.51,-51,51
9.52,-69,57
9.53,-86,70
9.54,-112,86
9.55,-144,127
9.56,-183,188
9.57,-234,261
9.58,-284,326
9.59,-335,389
9.6,-265,446
9.61,-26,503
9.62,-33,420
9.63,-19,415
9.64,-34,448
9.65,-29,466
9.66,-30,501
9.67,-24,522
9.68,-34,562
9.69,-13,578
9.7,-36,603
9.71,-26,623
9.72,-37,662
9.73,-23,676
9.74,-27,711
9.75,-35,716
9.76,-35,723
9.77,-36,730
9.78,-30,726
9.79,-26,726
9.8,-30,722
9.81,-36,717
9.82,-35,702
9.83,-39,698
9.84,-27,689
9.85,-28,692
9.86,-21,681
9.87,-28,673
9.88,-25,650
9.89,-27,651
9.9,-26,620
9.91,-38,625
9.92,-25,601
9.93,-40,596
9.94,-27,569
9.95,-28,554
9.96,-33,534
9.97,-38,532
9.98,-28,523
9.99,-35,498
10,-39,477
10.01,-26,472
10.02,-17,458
10.03,-39,437
10.04,-36,426
10.05,-32,411
10.06,-14,400
10.07,-17,374
10.08,-20,380
10.09,-15,354
10.1,-34,359
10.11,-17,340
10.12,-23,338
10.13,-30,303
10.14,-27,305
10.15,-27,288
10.16,-40,260
10.17,-39,258
10.18,-35,253
10.19,-37,238
10.2,-675,236
10.21,-1603,269
10.22,-1612,765
10.23,-1592,788
10.24,-1561,762
10.25,-1563,730
10.26,-1542,681
10.27,-1512,658
10.28,-1502,610
10.29,-1493,594
10.3,-1457,552
10.31,-1457,529
10.32,-1414,494
10.33,-1399,470
10.34,-1399,441
10.35,-1389,434
10.36,-1358,409
10.37,-1331,393
10.38,-1322,360
10.39,-1300,346
10.4,-1285,329
10.41,-1251,320
10.42,-1247,310
10.43,-1222,292
10.44,-1203,280
10.45,-1188,271
10.46,-1155,261
10.47,-1146,251
10.48,-1111,251
10.49,-1095,233
10.5,-1076,244
10.51,-1046,227
10.52,-1017,234
10.53,-992,228
10.54,-976,219
10.55,-950,204
10.56,-929,205
10.57,-891,201
10.58,-883,202
10.59,-848,191
10.6,-827,187
10.61,-796,188
10.62,-774,191
10.63,-741,186
10.64,-728,182
10.65,-706,185
10.66,-670,183
10.67,-648,178
10.68,-634,178
10.69,-619,178
10.7,-585,171
10.71,-562,179
10.72,-547,170
10.73,-517,174
10.74,-489,170
10.75,-462,163
10.76,-443,153
10.77,-421,163
10.78,-403,146
10.79,-383,159
10.8,-366,144
10.81,-343,144
10.82,-334,135
10.83,-316,130
10.84,-304,122
10.85,-283,115
10.86,-264,114
10.87,-256,112
10.88,-239,103
10.89,-224,101
10.9,-218,96
10.91,-186,88
10.92,-179,97
10.93,-170,101
10.94,-161,90
10.95,-144,86
10.96,-140,90
10.97,-124,81
10.98,-124,84
10.99,-108,77
11,-114,80
11.01,-101,67
11.02,-101,62
11.03,-97,56
11.04,-84,50
11.05,-75,57
11.06,-77,67
11.07,-76,58
11.08,-69,53
11.09,-67,54
11.1,-65,54
11.11,-60,48
11.12,-55,48
11.13,-55,52
11.14,-50,49
11.15,-55,50
11.16,-45,43
11.17,-55,50
11.18,-42,42
11.19,-55,47
11.2,-41,37
11.21,-47,45
11.22,-39,39
11.23,-45,44
11.24,-46,37
11.25,-44,35
11.26,-42,34
11.27,-48,37
11.28,-48,34
11.29,-46,34
11.3,-40,33
11.31,-42,37
11.32,-41,36
11.33,-44,33
11.34,-41,30
11.35,-36,34
11.36,-40,39
11.37,-35,30
11.38,-43,38
11.39,-32,29
11.4,-41,40
11.41,-32,30
11.42,-39,42
11.43,-34,30
11.44,-40,40
11.45,-40,36
11.46,-44,33
11.47,-45,37
11.48,-55,34
11.49,-50,26
11.5,-50,36
11.51,-57,46
11.52,-68,56
11.53,-87,71
11.54,-124,86
11.55,-146,120
11.56,-179,183
11.57,-236,264
11.58,-281,320
11.59,-341,396
11.6,-269,447
11.61,-30,501
11.62,-27,411
11.63,-39,420
11.64,-32,430
11.65,-32,472
11.66,-35,492
11.67,-37,515
11.68,-27,535
11.69,-33,576
11.7,-38,595
11.71,-38,617
11.72,-45,647
11.73,-24,666
11.74,-26,690
11.75,-28,716
11.76,-35,720
11.77,-52,730
11.78,-28,722
11.79,-18,728
11.8,-40,732
11.81,-34,723
11.82,-44,704
11.83,-25,698
11.84,-35,694
11.85,-23,693
11.86,-33,678
11.87,-30,664
11.88,-44,656
11.89,-31,630
11.9,-31,624
11.91,-26,603
11.92,-35,590
11.93,-39,572
11.94,-49,560
11.95,-39,551
11.96,-43,529
11.97,-32,534
11.98,-41,507
11.99,-35,486
12,-26,479
12.01,-34,471
12.02,-28,461
12.03,-47,438
12.04,-30,412
12.05,-48,404
12.06,-41,374
12.07,-38,378
12.08,-40,352
12.09,-41,346
12.1,-38,328
12.11,-46,310
12.12,-33,318
12.13,-39,302
12.14,-50,294
12.15,-46,287
12.16,-22,263
12.17,-42,263
12.18,-35,240
12.19,-39,250
12.2,-678,225
12.21,-1595,264
12.22,-1621,743
12.23,-1598,770
12.24,-1577,754
12.25,-1555,700
12.26,-1561,667
12.27,-1539,631
12.28,-1520,600
12.29,-1498,548
12.3,-1480,518
12.31,-1459,504
12.32,-1451,470
12.33,-1421,459
12.34,-1404,423
12.35,-1403,407
12.36,-1369,391
12.37,-1346,370
12.38,-1345,362
12.39,-1306,334
12.4,-1298,320
12.41,-1274,307
12.42,-1250,283
12.43,-1231,285
12.44,-1215,263
12.45,-1202,263
12.46,-1174,251
12.47,-1139,240
12.48,-1135,223
12.49,-1098,224
12.5,-1084,209
12.51,-1052,206
12.52,-1040,202
12.53,-1011,208
12.54,-993,192
12.55,-957,191
12.56,-948,186
12.57,-922,178
12.58,-893,167
12.59,-879,169
12.6,-842,163
12.61,-811,166
12.62,-794,165
12.63,-768,156
12.64,-738,163
12.65,-720,158
12.66,-695,166
12.67,-656,166
12.68,-640,170
12.69,-615,153
12.7,-603,158
12.71,-565,152
12.72,-543,155
12.73,-512,151
12.74,-507,158
12.75,-493,146
12.76,-461,138
12.77,-439,139
12.78,-412,134
12.79,-399,130
12.8,-382,131
12.81,-364,124
12.82,-349,121
12.83,-326,112
12.84,-315,107
12.85,-300,100
12.86,-275,95
12.87,-270,106
12.88,-251,90
12.89,-245,86
12.9,-226,76
12.91,-208,75
12.92,-187,71
12.93,-190,84
12.94,-171,64
12.95,-167,77
12.96,-158,68
12.97,-150,59
12.98,-145,57
12.99,-136,54
13,-133,53
13.01,-120,48
13.02,-120,42
13.03,-116,39
13.04,-96,32
13.05,-88,39
13.06,-95,50
13.07,-84,46
13.08,-86,45
13.09,-77,39
13.1,-81,43
13.11,-71,33
13.12,-77,40
13.13,-66,33
13.14,-71,35
13.15,-60,29
13.16,-66,37
13.17,-65,31
13.18,-63,25
13.19,-65,27
13.2,-64,24
13.21,-60,24
13.22,-61,26
13.23,-59,21
13.24,-59,22
13.25,-60,21
13.26,-58,21
13.27,-57,23
13.28,-49,21
13.29,-59,27
13.3,-47,20
13.31,-52,30
13.32,-49,22
13.33,-55,29
13.34,-47,20
13.35,-54,26
13.36,-45,16
13.37,-50,30
13.38,-45,22
13.39,-52,25
13.4,-55,20
13.41,-49,16
13.42,-50,20
13.43,-52,15
13.44,-51,18
13.45,-52,20
13.46,-53,17
13.47,-56,20
13.48,-54,20
13.49,-55,27
13.5,-65,31
13.51,-61,34
13.52,-80,52
13.53,-98,52
13.54,-127,79
13.55,-152,109
13.56,-198,172
13.57,-234,241
13.58,-302,319
13.59,-350,362
13.6,-286,440
13.61,-52,480
13.62,-50,390
13.63,-50,396
13.64,-48,423
13.65,-53,446
13.66,-42,478
13.67,-49,504
13.68,-45,527
13.69,-48,557
13.7,-54,580
13.71,-48,606
13.72,-38,630
13.73,-43,664
13.74,-36,684
13.75,-48,714
13.76,-41,721
13.77,-41,716
13.78,-46,710
13.79,-49,724
13.8,-36,702
13.81,-46,714
13.82,-43,700
13.83,-41,682
13.84,-42,678
13.85,-32,672
13.86,-41,650
13.87,-41,649
13.88,-35,656
13.89,-42,629
13.9,-49,598
13.91,-38,613
13.92,-47,580
13.93,-42,561
13.94,-42,550
13.95,-42,539
13.96,-53,534
13.97,-36,510
13.98,-38,503
13.99,-31,491
14,-47,479
14.01,-20,458
14.02,-31,453
14.03,-45,436
14.04,-53,423
14.05,-42,401
14.06,-40,381
14.07,-42,368
14.08,-43,350
14.09,-48,335
14.1,-68,330
14.11,-51,308
14.12,-97,289
14.13,-89,238
14.14,-89,243
14.15,-64,221
14.16,-71,248
14.17,-40,219
14.18,-44,251
14.19,-41,232
14.2,-676,219
14.21,-1601,256
14.22,-1614,747
14.23,-1603,794
14.24,-1557,757
14.25,-1554,738
14.26,-1537,695
14.27,-1528,619
14.28,-1511,588
14.29,-1478,561
14.3,-1481,536
14.31,-1463,506
14.32,-1439,461
14.33,-1409,457
14.34,-1400,447
14.35,-1376,443
14.36,-1358,416
14.37,-1331,408
14.38,-1321,388
14.39,-1293,364
14.4,-1278,360
14.41,-1247,339
14.42,-1240,336
14.43,-1204,311
14.44,-1197,310
14.45,-1172,292
14.46,-1154,282
14.47,-1134,271
14.48,-1103,267
14.49,-1089,270
14.5,-1066,258
14.51,-1033,236
14.52,-1011,239
14.53,-988,227
14.54,-958,217
14.55,-942,230
14.56,-912,222
14.57,-879,223
14.58,-862,215
14.59,-853,217
14.6,-805,198
14.61,-791,208
14.62,-762,209
14.63,-744,215
14.64,-702,203
14.65,-697,210
14.66,-647,199
14.67,-637,205
14.68,-617,195
14.69,-596,203
14.7,-568,188
14.71,-550,194
14.72,-524,186
14.73,-497,184
14.74,-473,186
14.75,-455,185
14.76,-439,179
14.77,-403,176
14.78,-396,171
14.79,-358,166
14.8,-352,165
14.81,-328,157
14.82,-316,158
14.83,-295,147
14.84,-283,149
14.85,-262,140
14.86,-255,139
14.87,-229,134
14.88,-224,131
14.89,-203,116
14.9,-202,128
14.91,-181,105
14.92,-162,103
14.93,-159,113
14.94,-147,96
14.95,-136,100
14.96,-125,98
14.97,-115,98
14.98,-111,95
14.99,-104,88
15,-100,86
15.01,-97,85
15.02,-82,81
15.03,-82,79
15.04,-57,68
15.05,-58,88
15.06,-53,90
15.07,-61,87
15.08,-47,66
15.09,-53,79
15.1,-47,74
15.11,-48,75
15.12,-45,64
15.13,-45,63
15.14,-42,63
15.15,-43,62
15.16,-38,56
15.17,-35,58
15.18,-35,61
15.19,-33,57
15.2,-35,57
15.21,-29,57
15.22,-33,57
15.23,-24,52
15.24,-32,61
15.25,-19,48
15.26,-26,59
15.27,-21,56
15.28,-26,58
